Controller,Task,FinalError,MaxError,MeanError
Computed Torque,Regulation,2.10476068463591e-08,0.574456264653803,0.026431960605186
Computed Torque,Tracking,1.19854335852565e-05,0.0147154761371243,0.000666253653052279
Robust,Regulation,0.00059269831138839,0.574456264653803,0.0252269334363062
Robust,Tracking,0.000324691817107266,0.00699455463695522,0.00271157723990862
Adaptive,Regulation,0.061166442354028,0.574456264653803,0.155525569733201
Adaptive,Tracking,0.0448259571362275,0.248604406636304,0.126356293584556
